					Demand	Demand**2	Avg. Demand	Avg. Demand**2
				1-Oct	3.961348754	15.69228395	3.777353631	15.8023952
				2-Oct	3.988561977	15.90862664	3.777353631	15.8023952
				3-Oct	4.011292555	16.09046796	3.777353631	15.8023952
				4-Oct	4.026406605	16.21195015	3.777353631	15.8023952
				5-Oct	4.031682638	16.25446489	3.777353631	15.8023952
				6-Oct	4.044694208	16.35955124	3.777353631	15.8023952
				7-Oct	4.050287596	16.40482961	3.777353631	15.8023952
				8-Oct	4.052628092	16.42379445	3.777353631	15.8023952
				9-Oct	4.059094208	16.47624579	3.777353631	15.8023952
				10-Oct	4.060720654	16.48945223	3.777353631	15.8023952
				11-Oct	4.073018175	16.58947705	3.777353631	15.8023952
				12-Oct	4.072185117	16.58269163	3.777353631	15.8023952
				13-Oct	4.06167272	16.49718529	3.777353631	15.8023952
				14-Oct	4.058380158	16.47044951	3.777353631	15.8023952
				15-Oct	4.042353712	16.34062353	3.777353631	15.8023952
				16-Oct	4.015894208	16.12740629	3.777353631	15.8023952
				17-Oct	3.999867762	15.99894211	3.777353631	15.8023952
				18-Oct	3.993242968	15.94598941	3.777353631	15.8023952
				19-Oct	3.981143795	15.84950592	3.777353631	15.8023952
				20-Oct	3.958968588	15.67343228	3.777353631	15.8023952
				21-Oct	3.952383464	15.62133505	3.777353631	15.8023952
				22-Oct	3.934532225	15.48054383	3.777353631	15.8023952
				23-Oct	3.901646274	15.22284365	3.777353631	15.8023952
				24-Oct	3.868046274	14.96178198	3.777353631	15.8023952
				25-Oct	3.843887597	14.77547186	3.777353631	15.8023952
				26-Oct	3.809970242	14.51587324	3.777353631	15.8023952
				27-Oct	3.76962644	14.2100835	3.777353631	15.8023952
				28-Oct	3.720476027	13.84194187	3.777353631	15.8023952
				29-Oct	3.681957019	13.55680749	3.777353631	15.8023952
				30-Oct	3.643636358	13.27608591	3.777353631	15.8023952
				31-Oct	3.599880986	12.95914311	3.777353631	15.8023952
				1-Nov	3.564654539	12.70676199	3.777353631	15.8023952
				2-Nov	3.547557019	12.5851608	3.777353631	15.8023952
				3-Nov	3.524112391	12.41936814	3.777353631	15.8023952
				4-Nov	3.497137184	12.22996849	3.777353631	15.8023952
				5-Nov	3.458975201	11.96450944	3.777353631	15.8023952
				6-Nov	3.432555366	11.78243634	3.777353631	15.8023952
				7-Nov	3.404429746	11.5901419	3.777353631	15.8023952
				8-Nov	3.383087598	11.44528169	3.777353631	15.8023952
				9-Nov	3.372297515	11.37239053	3.777353631	15.8023952
				10-Nov	3.34861487	11.21322155	3.777353631	15.8023952
				11-Nov	3.353176854	11.24379501	3.777353631	15.8023952
				12-Nov	3.345838011	11.194632	3.777353631	15.8023952
				13-Nov	3.324971895	11.0554381	3.777353631	15.8023952
				14-Nov	3.313150408	10.97696562	3.777353631	15.8023952
				15-Nov	3.301884292	10.90243988	3.777353631	15.8023952
				16-Nov	3.297520656	10.87364247	3.777353631	15.8023952
				17-Nov	3.292998342	10.84383808	3.777353631	15.8023952
				18-Nov	3.299861151	10.88908362	3.777353631	15.8023952
				19-Nov	3.296370242	10.86605677	3.777353631	15.8023952
				20-Nov	3.296330573	10.86579525	3.777353631	15.8023952
				21-Nov	3.297679333	10.87468899	3.777353631	15.8023952
				22-Nov	3.304462804	10.91947443	3.777353631	15.8023952
				23-Nov	3.308350408	10.94518242	3.777353631	15.8023952
				24-Nov	3.323028094	11.04251571	3.777353631	15.8023952
				25-Nov	3.334571895	11.11936972	3.777353631	15.8023952
				26-Nov	3.344727267	11.18720049	3.777353631	15.8023952
				27-Nov	3.333064457	11.10931868	3.777353631	15.8023952
				28-Nov	3.339411565	11.1516696	3.777353631	15.8023952
				29-Nov	3.352661151	11.2403368	3.777353631	15.8023952
				30-Nov	3.370274374	11.35874936	3.777353631	15.8023952
				1-Dec	3.393838011	11.51813644	3.777353631	15.8023952
				2-Dec	3.415735531	11.66724922	3.777353631	15.8023952
				3-Dec	3.422598341	11.71417941	3.777353631	15.8023952
				4-Dec	3.426842969	11.74325274	3.777353631	15.8023952
				5-Dec	3.442433052	11.85034532	3.777353631	15.8023952
				6-Dec	3.431365283	11.77426771	3.777353631	15.8023952
				7-Dec	3.407682639	11.61230097	3.777353631	15.8023952
				8-Dec	3.423272722	11.71879613	3.777353631	15.8023952
				9-Dec	3.40966611	11.62582298	3.777353631	15.8023952
				10-Dec	3.396257846	11.53456735	3.777353631	15.8023952
				11-Dec	3.37606611	11.39782238	3.777353631	15.8023952
				12-Dec	3.366704127	11.33469668	3.777353631	15.8023952
				13-Dec	3.343021482	11.17579263	3.777353631	15.8023952
				14-Dec	3.335563631	11.12598473	3.777353631	15.8023952
				15-Dec	3.333223135	11.11037647	3.777353631	15.8023952
				16-Dec	3.327193383	11.07021581	3.777353631	15.8023952
				17-Dec	3.296925614	10.86971851	3.777353631	15.8023952
				18-Dec	3.273044623	10.7128211	3.777353631	15.8023952
				19-Dec	3.244998342	10.53001424	3.777353631	15.8023952
				20-Dec	3.238532226	10.48809098	3.777353631	15.8023952
				21-Dec	3.208938838	10.29728846	3.777353631	15.8023952
				22-Dec	3.201838011	10.25176665	3.777353631	15.8023952
				23-Dec	3.199457846	10.23653051	3.777353631	15.8023952
				24-Dec	3.166809912	10.02868502	3.777353631	15.8023952
				25-Dec	3.147609912	9.907448158	3.777353631	15.8023952
				26-Dec	3.114366937	9.699281418	3.777353631	15.8023952
				27-Dec	3.11210578	9.685202385	3.777353631	15.8023952
				28-Dec	3.116112391	9.710156436	3.777353631	15.8023952
				29-Dec	3.101950408	9.622096334	3.777353631	15.8023952
				30-Dec	3.088343796	9.537867405	3.777353631	15.8023952
				31-Dec	3.07029421	9.426706534	3.777353631	15.8023952
				1-Jan	3.066763631	9.40503917	3.777353631	15.8023952
				2-Jan	3.028958673	9.17459064	3.777353631	15.8023952
				3-Jan	3.028680987	9.172908519	3.777353631	15.8023952
				4-Jan	3.02019173	9.121558089	3.777353631	15.8023952
				5-Jan	3.027292557	9.164500225	3.777353631	15.8023952
				6-Jan	3.017930573	9.107904946	3.777353631	15.8023952
				7-Jan	3.027927268	9.168343538	3.777353631	15.8023952
				8-Jan	3.033996689	9.20513591	3.777353631	15.8023952
				9-Jan	3.035424788	9.213803645	3.777353631	15.8023952
				10-Jan	2.997897516	8.987389514	3.777353631	15.8023952
				11-Jan	3.00241983	9.014524834	3.777353631	15.8023952
				12-Jan	2.982783466	8.896997205	3.777353631	15.8023952
				13-Jan	2.952039664	8.71453818	3.777353631	15.8023952
				14-Jan	2.909514045	8.465271976	3.777353631	15.8023952
				15-Jan	2.884760326	8.321842137	3.777353631	15.8023952
				16-Jan	2.855603301	8.154470213	3.777353631	15.8023952
				17-Jan	2.808555367	7.88798325	3.777353631	15.8023952
				18-Jan	2.782571896	7.742706357	3.777353631	15.8023952
				19-Jan	2.751788425	7.572339537	3.777353631	15.8023952
				20-Jan	2.719497516	7.39566674	3.777353631	15.8023952
				21-Jan	2.682366938	7.195092388	3.777353631	15.8023952
				22-Jan	2.62528264	6.892108941	3.777353631	15.8023952
				23-Jan	2.567801649	6.593605306	3.777353631	15.8023952
				24-Jan	2.524006607	6.370609354	3.777353631	15.8023952
				25-Jan	2.511550409	6.307885457	3.777353631	15.8023952
				26-Jan	2.504568591	6.272863826	3.777353631	15.8023952
				27-Jan	2.493381814	6.21695287	3.777353631	15.8023952
				28-Jan	2.456251236	6.033170132	3.777353631	15.8023952
				29-Jan	2.417137186	5.842552176	3.777353631	15.8023952
				30-Jan	2.405752062	5.787642984	3.777353631	15.8023952
				31-Jan	2.398294211	5.751815122	3.777353631	15.8023952
				1-Feb	2.391272723	5.718185237	3.777353631	15.8023952
				2-Feb	2.369375203	5.613938851	3.777353631	15.8023952
				3-Feb	2.347239665	5.509534047	3.777353631	15.8023952
				4-Feb	2.350294211	5.523882878	3.777353631	15.8023952
				5-Feb	2.356839665	5.554693209	3.777353631	15.8023952
				6-Feb	2.373897517	5.63538942	3.777353631	15.8023952
				7-Feb	2.415391731	5.834117216	3.777353631	15.8023952
				8-Feb	2.440304128	5.955084238	3.777353631	15.8023952
				9-Feb	2.476244624	6.131787438	3.777353631	15.8023952
				10-Feb	2.525831401	6.379824265	3.777353631	15.8023952
				11-Feb	2.549553715	6.500224144	3.777353631	15.8023952
				12-Feb	2.561771897	6.56267525	3.777353631	15.8023952
				13-Feb	2.563676029	6.57243478	3.777353631	15.8023952
				14-Feb	2.588350409	6.699557839	3.777353631	15.8023952
				15-Feb	2.574228095	6.626650284	3.777353631	15.8023952
				16-Feb	2.581011566	6.661620703	3.777353631	15.8023952
				17-Feb	2.603702475	6.779266578	3.777353631	15.8023952
				18-Feb	2.634406607	6.940098172	3.777353631	15.8023952
				19-Feb	2.614889252	6.837645799	3.777353631	15.8023952
				20-Feb	2.591484293	6.715790842	3.777353631	15.8023952
				21-Feb	2.58275702	6.670633827	3.777353631	15.8023952
				22-Feb	2.603980161	6.780712678	3.777353631	15.8023952
				23-Feb	2.626393384	6.897942208	3.777353631	15.8023952
				24-Feb	2.624132227	6.886069945	3.777353631	15.8023952
				25-Feb	2.628495863	6.908990504	3.777353631	15.8023952
				26-Feb	2.61298512	6.827691235	3.777353631	15.8023952
				27-Feb	2.604416525	6.782985433	3.777353631	15.8023952
				28-Feb	2.597791731	6.748521878	3.777353631	15.8023952
				1-Mar	2.596958673	6.744194351	3.777353631	15.8023952
				2-Mar	2.569864458	6.604203335	3.777353631	15.8023952
				3-Mar	2.546816525	6.48627441	3.777353631	15.8023952
				4-Mar	2.528806607	6.394862857	3.777353631	15.8023952
				5-Mar	2.536026442	6.431430115	3.777353631	15.8023952
				6-Mar	2.517143797	6.336012897	3.777353631	15.8023952
				7-Mar	2.481758674	6.159126114	3.777353631	15.8023952
				8-Mar	2.463986773	6.071230816	3.777353631	15.8023952
				9-Mar	2.48271074	6.163852617	3.777353631	15.8023952
				10-Mar	2.482552062	6.16306474	3.777353631	15.8023952
				11-Mar	2.477791731	6.139451864	3.777353631	15.8023952
				12-Mar	2.483107434	6.165822528	3.777353631	15.8023952
				13-Mar	2.499927269	6.249636348	3.777353631	15.8023952
				14-Mar	2.498935533	6.244678798	3.777353631	15.8023952
				15-Mar	2.485606607	6.178240207	3.777353631	15.8023952
				16-Mar	2.482909087	6.164837533	3.777353631	15.8023952
				17-Mar	2.493778508	6.218931248	3.777353631	15.8023952
				18-Mar	2.494809913	6.224076503	3.777353631	15.8023952
				19-Mar	2.480013219	6.150465566	3.777353631	15.8023952
				20-Mar	2.481084293	6.155779271	3.777353631	15.8023952
				21-Mar	2.44911074	5.998143415	3.777353631	15.8023952
				22-Mar	2.450142145	6.003196529	3.777353631	15.8023952
				23-Mar	2.457560326	6.039602758	3.777353631	15.8023952
				24-Mar	2.457163632	6.037653116	3.777353631	15.8023952
				25-Mar	2.457044624	6.037068284	3.777353631	15.8023952
				26-Mar	2.465375202	6.078074889	3.777353631	15.8023952
